COMMODITY,Unit,Kg,Nairobi,Mombasa,Kisumu,Nakuru,Eldoret,Malindi,Kitale,Kisii,Kitui,Busia,Loitoktok,Garissa,Karatina,Embu,Average,Maximum.
Dry Maize,Bag,90,2995,3100,3200,2380,2600,3240,2261.111111,3200,3400,2373.75,3200,3600,2800,3000,2953.561508,3600
Green Maize,Ext Bag,115,3199.583333,5155.416667,1990,1941.666667,1725,3000,1200,3500,2000,1500,3250,6100,1000,2000,2682.97619,6100
Finger Millet,Bag,90,5530,6525,7200,5311.25,7200,5602.5,4500,7300,7800,4725,,7200,6000,5200,6161.057692,7800
Sorghum,Bag,90,3470,3366.666667,3416.666667,3100,3200,4357.5,1830,,4500,2475,,6500,3000,4800,3667.986111,6500
Wheat,Bag,90,,,,3515,2800,4500,,,,,,5500,3500,4000,3969.166667,5500
Beans Canadian,Bag,90,5315,,6200,,,6300,3733.333333,,,4500,,5400,6500,5000,5368.541667,6500
Beans Rosecoco,Bag,90,5200,4995,6000,4800,5850,6015,3733.333333,4900,5600,4556.25,,5400,5500,5500,5234.583333,6015
Beans Mwitemania,Bag,90,5070,5868.75,,4050,4557,6015,3733.333333,,6000,,5750,5500,4560,4000,5009.462121,6015
Mwezi Moja,Bag,90,5030,,,4333.333333,,6150,,,6200,,6000,5400,,,5518.888889,6200
Beans Dolichos (Njahi),Bag,90,6495,7166.25,,7965,7200,9000,8400,,6800,,7200,9000,8000,8500,7793.295455,9000
Green Gram,Bag,90,6800,7515,7200,6300,7600,8005,7200,,6800,6300,10800,8800,6500,6000,7370.769231,10800
Cowpeas,Bag,90,5515,4958.333333,7200,6300,4950,6300,5333.333333,,5000,6300,,7200,6000,4000,5754.722222,7200
Fresh Peas,Bag,51,2827.083333,2852.083333,2468.333333,2611.25,2084.75,,2210,,2250,,,8000,3600,,3211.5,8000
Groundnuts,Bag,110,12000,12787.5,9937.5,11000,10170,13882.5,11550,9800,13500,12237.5,,15000,15000,15000,12451.15385,15000
Red Irish Potatoes,Bag,110,3296.666667,2200,4108.333333,3110,3331.666667,,2444.444444,4083.333333,4150,3100,5650,5200,2900,2700,3559.57265,5650
White Irish Potatoes,Bag,110,3418.333333,2694.166667,4108.333333,3110,3131.666667,3486.25,2444.444444,,3500,2875,5650,5200,,3200,3568.18287,5650
Cassava Fresh,Bag,98.8,2101.25,2231.25,1752.083333,,,2873.0625,1700,,800,,,,,1300,1822.520833,2873.0625
Sweet Potatoes,Bag,98,3290,3176.458333,1879.166667,2525,1722.5,3413.4375,1827.777778,1562.5,4500,1975,2500,8000,3800,2500,3047.988591,8000
Cabbages,Ext Bag,126,1835.833333,2576.25,866.6666667,800,980,2000,833.3333333,800,1500,2633.333333,3000,3000,700,480,1571.815476,3000
Cooking Bananas,Med Bunch,22,622.6666667,712.1666667,300,500,890,900,327.7777778,400,450,850,600,615,400,450,572.6865079,900
Ripe Bananas,Med Bunch,14,688.375,578.75,300,350,525,600,598.8888889,,600,1275,600,900,400,550,612.7702991,1275
Carrots,Ext Bag,138,2222.916667,2995.833333,2626.25,1631.666667,1113.333333,3454.125,3220,2362.5,4800,3955,2000,3000,2000,3500,2777.258929,4800
Tomatoes,Lg Box,64,4485.833333,4650.333333,4206.25,3772.083333,4652.5,3595.25,3027.777778,4312.5,3750,2512.5,2250,4000,3550,3000,3697.501984,4652.5
Onions Dry,net,13,693.1666667,700,1054.166667,650,689,657.8125,635.5555556,762.5,990,821.25,950,900,585,780,776.3179563,1054.166667
Spring Onions,Bag,142,1943.75,1500,1045,782.5,1020,,1716.666667,1075,2500,,,6500,3000,3500,2234.810606,6500
Chillies,Bag,38,2984.583333,2401.5,1075,3715,,3580.875,3040,,,,,7600,,3800,3524.619792,7600
Cucumber,Bag,50,1940,1905.208333,,,,1958.75,1500,,,,,,,2000,1860.791667,2000
Capsicums,Bag,50,3063.333333,2166.666667,1475,3725,1645.833333,2006.666667,1500,,2500,1862.5,,2500,1400,2250,2174.583333,3725
Brinjals,Bag,44,1841.25,1050.583333,1110,2725,,1320,1320,,,1100,,2000,,960,1491.87037,2725
Cauliflower,crate,39,2721.666667,1408.333333,,,,,,,,,,,,1850,1993.333333,2721.666667
Lettuce,Bag,51,2692.916667,2565,,,,7000,,,,,,,,5100,4339.479167,7000
Passion Fruits,Bag,57,3755.416667,5252.916667,2968.75,3800,3990,3429,3990,2850,4500,,,1500,4560,4660,3771.340278,5252.916667
Oranges,Bag,93,2574.583333,2778.333333,2750,2535,3335,2406.25,2550,2875,2000,2150,,4650,2400,3000,2769.551282,4650
Lemons,Bag,95,1617.5,2114.166667,937.5,1520,,1991.875,3430.555556,2100,700,1350,,3900,,,1966.159722,3900
Mangoes Local,Bag,126,2382.5,895.4166667,2000,2625,1870,2000,2233.333333,2000,1500,1500,3000,5670,,800,2190.480769,5670
Mangoes Ngowe,Sm Basket,25,904.1666667,921.6666667,1775,600,468.75,1060,,500,900,,,1050,720,1800,972.6893939,1800
Limes,net,13,749.8333333,1146.083333,,,,692.5,,,,,,250,,,709.6041667,1146.083333
Pineapples,Dozen,12.8,750,1069.5,646.75,380,650,636.625,520,,900,1200,,700,500,,722.9886364,1200
Pawpaw,Lg Box,54,2293.333333,887.5,1000,2500,1741.875,1677,2700,475,700,,,3750,2200,1080,1750.392361,3750
Avocado,Bag,90,2455.416667,3716.666667,1450,2200,2407.5,5425,1100,862.5,2000,1000,3000,5000,,1500,2470.544872,5425
Kales,Bag,50,900,1065.833333,987.5,660,486.6666667,1375,522.2222222,412.5,600,1100,750,675,350,500,741.765873,1375
Eggs,Tray,,300,335,300,289.5,350,325,260,295,,273.3333333,320,330,,300,306.4861111,350
